address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018,total_turnover,annual_turnover,max_units,change_index,multi_units,LATITUDE,LONGITUDE
1 ADELAIDE ST E,2,2,2,2,2,3,3,0,0,0,0,1,0,1,0.16666666666666666,3,0.05555555555555555,1,43.650310829,-79.37804826899999
1 AUSTIN TER,2,2,1,1,1,2,2,0,1,0,0,1,0,2,0.3333333333333333,2,0.16666666666666666,0,43.678121752799996,-79.4095269982
1 AVONDALE AVE,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0.0,2,0.0,0,43.7581379264,-79.40956270310001
1 BALDWIN ST,0,1,1,1,1,1,1,1,0,2,0,0,0,3,0.5,1,0.5,0,43.6561147128,-79.3923210483
1 BALMORAL AVE,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6855437488,-79.3934229309
1 BAXTER ST,0,1,0,1,2,1,1,1,1,1,1,1,0,5,0.8333333333333334,2,0.4166666666666667,0,43.6752664521,-79.3885662951
1 BEDFORD RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.668540246199996,-79.3971741399
1 BENVENUTO PL,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.681562746000004,-79.3999553194
1 BESTOBELL RD,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.61347162,-79.540273153
1 BLOOR ST E,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.670093093,-79.3864037808
1 BLUE GOOSE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6167534553,-79.4957531911
1 BONIS AVE,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.783474310600006,-79.2989508992
1 BRIDGEPOINT DR,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.666171228,-79.35521667
1 BRIMLEY RD S,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.16666666666666666,1,0.16666666666666666,0,43.7062142029,-79.2349767711
1 BYNG AVE,0,0,1,0,1,0,1,0,1,1,1,1,1,5,0.8333333333333334,1,0.8333333333333334,0,43.7262074639,-79.5510579724
1 CARLINGVIEW DR,1,1,1,3,3,1,0,0,0,2,0,2,1,5,0.8333333333333334,3,0.2777777777777778,1,43.674145503999995,-79.586165869
1 CARLTON ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6612184122,-79.38281399659999
1 CENTRE ISLAND PK,14,14,16,15,16,20,18,2,2,1,3,8,6,22,3.6666666666666665,20,0.18333333333333332,1,43.61521520300001,-79.37727549600001
1 CENTRE ST,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.7431571484,-79.2204941266
1 CHELWOOD RD,0,0,0,1,0,1,0,0,0,1,1,1,1,4,0.6666666666666666,1,0.6666666666666666,0,43.72516293,-79.275644637
1 CHERRY ST,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.637463441,-79.344740394
1 CONCORDE GT,1,2,2,2,0,2,2,1,0,0,2,2,0,5,0.8333333333333334,2,0.4166666666666667,0,43.7288461746,-79.32927668159999
1 DE BOERS DR,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0.3333333333333333,1,0.3333333333333333,0,43.751227658999994,-79.4641133552
1 DUNDAS ST W,3,4,4,6,10,10,23,1,0,2,6,2,15,26,4.333333333333333,23,0.18840579710144925,1,43.655911250200006,-79.3815627015
1 EASTDALE AVE,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6933496394,-79.2998577162
1 EGLINTON AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7065883937,-79.3977738915
1 EGLINTON SQ,3,6,6,6,7,5,5,3,2,2,1,2,2,12,2.0,7,0.2857142857142857,1,43.723012768900006,-79.3008259479
1 ELLESMERE RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7562549448,-79.3142633076
1 EVA RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.639478026599996,-79.56306953800001
1 FRONT ST E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6465882061,-79.3762015648
1 FRONT ST W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.646057256199995,-79.37779362479999
1 GLEN WATFORD DR,1,1,1,0,1,1,1,0,0,1,1,0,0,2,0.3333333333333333,1,0.3333333333333333,0,43.786380379899995,-79.2755015741
1 GLENDINNING AVE,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.811211191000005,-79.33351088
1 HAFIS RD,0,1,2,2,2,2,0,1,1,0,0,0,2,4,0.6666666666666666,2,0.3333333333333333,0,43.7059029503,-79.46997505899999
1 HARBOUR SQ,5,5,7,8,7,7,7,0,2,1,1,4,0,8,1.3333333333333333,8,0.16666666666666666,1,43.640858,-79.377075
1 HIGH MEADOW PL,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.7554624559,-79.5380573064
1 KING ST W,2,2,3,3,3,3,3,0,5,0,0,0,0,5,0.8333333333333334,3,0.2777777777777778,1,43.64898649,-79.378069561
1 KINGS COLLEGE CRCL,1,1,1,1,2,3,3,0,0,0,1,1,0,2,0.3333333333333333,3,0.1111111111111111,1,43.661037,-79.39499
1 LEASIDE PARK DR,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.7026519433,-79.3516030313
1 MCCOWAN RD,1,1,0,0,0,0,0,2,1,0,0,0,0,3,0.5,1,0.5,0,43.726087816,-79.232291026
1 MOBILE,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.725019876800005,-79.31438621619999
1 MOUNT PLEASANT RD,2,3,3,3,3,3,3,1,0,2,0,0,0,3,0.5,3,0.16666666666666666,1,43.67040589609999,-79.37946797
1 OAK ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.660649118,-79.3660726976
1 OLD MILL DR,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.648437407399996,-79.4865947948
1 PALACE PIER CRT,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.631481578,-79.472637971
1 QUEEN ST E,1,6,5,6,5,4,6,5,1,1,1,1,2,11,1.8333333333333333,6,0.3055555555555555,1,43.6522794101,-79.3786685878
1 RAINSFORD RD,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.668802808,-79.306884739
1 RICHMOND ST W,3,4,4,4,4,3,4,1,0,0,0,1,1,3,0.5,4,0.125,1,43.651384632299994,-79.3792927452
1 RICHVIEW RD,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.685159605200006,-79.51325334970001
1 ROMAR CRES,1,1,0,1,1,1,1,0,1,1,0,2,0,4,0.6666666666666666,1,0.6666666666666666,0,43.70617270010001,-79.44241639970001
1 STADIUM RD,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.16666666666666666,1,0.16666666666666666,0,43.632012902700005,-79.4017115137
1 THE ESPLANADE,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.16666666666666666,1,0.16666666666666666,0,43.645695201,-79.376143283
1 THE MARKET PL,1,2,0,0,0,1,1,1,2,0,0,1,0,4,0.6666666666666666,2,0.3333333333333333,0,43.6953922291,-79.2930836475
1 THIRTIETH ST,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.595705475699994,-79.5297480338
1 TORO RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.7596845985,-79.489752274
1 TORONTO ST,1,2,2,2,3,3,3,1,0,0,1,0,0,2,0.3333333333333333,3,0.1111111111111111,1,43.649574,-79.37594
1 TURBINA AVE,0,0,1,1,1,1,0,0,1,0,0,0,1,2,0.3333333333333333,1,0.3333333333333333,0,43.8264493454,-79.2512379265
1 UNIVERSITY AVE,0,0,2,1,1,0,0,0,2,1,0,1,0,4,0.6666666666666666,2,0.3333333333333333,0,43.6457982308,-79.3831759242
1 VALLEYBROOK DR,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.758531039,-79.3533382417
1 VIEWMOUNT AVE,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.710132871899994,-79.428304731
1 WARRENDALE CRT,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.736837056000006,-79.579840958
1 WESTSIDE DR,0,2,2,3,3,3,3,2,0,1,0,0,2,5,0.8333333333333334,3,0.2777777777777778,1,43.618343416,-79.562227982
1 WHITEHORSE RD,1,1,0,0,1,1,1,0,1,0,1,2,0,4,0.6666666666666666,1,0.6666666666666666,0,43.755203465600005,-79.4687654565
1 WILLIAM KITCHEN RD,1,2,2,2,3,3,3,1,0,0,1,0,2,4,0.6666666666666666,3,0.2222222222222222,1,43.7706944767,-79.2785938462
1 WILTSHIRE AVE,4,6,7,8,8,6,6,2,1,1,0,6,2,12,2.0,8,0.25,1,43.667504409799996,-79.4497622187
1 YONGE ST,1,1,1,2,3,3,3,0,2,3,1,0,0,6,1.0,3,0.3333333333333333,1,43.642365000000005,-79.37459
1 YORK GATE BLVD,4,12,11,11,12,12,7,8,3,0,1,2,7,21,3.5,12,0.2916666666666667,1,43.758507143100005,-79.51944263060001
1 YORKDALE RD,3,4,3,3,3,4,2,3,1,0,0,1,2,7,1.1666666666666667,4,0.2916666666666667,1,43.725177826499994,-79.4490974317
10 BAY ST,5,5,0,0,0,0,0,0,5,0,0,0,0,5,0.8333333333333334,5,0.16666666666666669,1,43.641438985,-79.37735026600001
10 BRADSTOCK RD,1,2,1,1,1,1,1,1,1,0,0,0,0,2,0.3333333333333333,2,0.16666666666666666,0,43.739400021,-79.53870307
10 BURNHAMTHORPE RD,1,1,0,0,0,1,1,0,1,0,0,1,0,2,0.3333333333333333,1,0.3333333333333333,0,43.6487650574,-79.52932836789999
10 CARLSON CRT,2,2,2,2,2,2,1,0,0,0,0,0,3,3,0.5,2,0.25,0,43.6901382916,-79.5860186628
10 CLINTON ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6539761502,-79.4136660613
10 COLLEGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.661450091000006,-79.3837000401
10 DANFORTH RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.694502287,-79.2769954551
10 DIXON RD,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.7010794,-79.528165
10 DUFFERIN ST,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.6327058078,-79.4255096192
10 DUNDAS ST E,14,18,21,23,20,16,14,6,7,4,7,4,2,30,5.0,23,0.21739130434782608,1,43.6566929463,-79.3806913717
10 EGLINTON AVE E,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16666666666666666,1,0.16666666666666666,0,43.707128194,-79.39772990600001
